ID,Country of Residence,Nationality,Gender,Age,Marital status,Field of Research,Designation [Career Stage],Work environment,Please indicate the total number of MALE group leaders/ bosses you have worked with.,Please indicate the total number of FEMALE group leaders/ bosses you have worked with.,Please indicate below the gender of your current boss.,Indicate the level of support that you have received from your MALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your MALE colleagues in the following roles? [Friends],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Group leader],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Colleagues],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Clients],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Collaborators],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Parents],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Spouse],Indicate the level of support that you have received from your FEMALE colleagues in the following roles? [Friends],Have you faced workplace gender-bias/discrimination?  [Male collegue],Have you faced workplace gender-bias/discrimination?  [Female collegue],"If you have answered yes in the previous question, please specify from the following :",Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Male],Have you witnessed workplace gender-bias/discrimination (directed towards other colleagues)?  [Female],"If you have answered yes in the previous question, please specify from the following :",Did you personally respond to the incident?,Did you report the issue to the appropriate authority? ,Who is responsible for addressing such complaints in your work environment? ,How seriously were your complaints taken? ,How comfortable were you in objecting against and/or reporting this issue?,"Was there any POSITIVE impact/outcome from reporting the incident? (e.g. positive change in policy, setting an example for others, support from colleagues, better work environment etc.)","Was there any NEGATIVE impact/outcome from reporting the incident? (e.g. threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment etc.)",Who would you choose/prefer to work with? [Male boss/leader],Who would you choose/prefer to work with? [Female boss/leader],"How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Male collegues]","How are leadership opportunities delegated to at your workplace (e.g. leading a project or a meeting, supervising, planning etc.)? [Female collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Male collegues]","Who performs the tasks not directly related to the scientific responsibilities ? (e.g. cleaning, arranging and organizing things in the lab, recording minutes of meetings etc.)  [Female collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Male collegues]","Who volunteers for tasks that benefit the group or organization but not professionally? (e.g. making lab reagents, organizing outings, distributing information/flyers.) [Female collegues]","If you volunteer for the above mentioned activities, please tell us what incentivizes you.","If you don't volunteer for the above mentioned activities, please tell us your reasons below. ",Have you ever been involved in activities or events to specifically to show support towards your female colleagues or colleagues from other minority groups?,"If your response to the previous question is YES, please provide more details about 'your involvement', 'nature of the event/activity', and 'impact of the event/activity'?",What kind of support at a workplace is most important for empowering female employees or employees from other minority groups?,Do you feel your workplace policies help you manage your professional and personal life?,"What is your group leader’s attitude towards personal leave (pregnancy, maternity/paternity leave, adoption, illness, family etc.) ?",Does your workplace offer sufficient leave of absence for personal reasons?  [Maternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Paternity leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Sick leave],Does your workplace offer sufficient leave of absence for personal reasons?  [Family Leave],Does your workplace offer one or several of the following childcare and related support?
47,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,1,1,Male,Always,Always,Mostly,Always,Moderately,Always,Mostly,Moderately,Always,Always,Mostly,Mostly,Moderately,Always,No,Yes,"Emotional harrassment, Mental harrassment",No,Yes,"Emotional harrassment, Mental harrassment","Yes, but I responded later.",I confronted directly,I don't know.,Mediators worked to create peace Accord,Not comfortable,No,No,Yes,Yes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,The lab function smoothly as whole.,,"No, I don’t have such opportunities",,Sisterhood rather than competition,Always,Supportive,Sufficient,Insufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, On-site or subsidized childcare (nursery, kindergarten)"
48,Sweden,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Not working,2,3,Female,Moderately,Mostly,Moderately,Always,Always,Always,Always,Moderately,Moderately,Mostly,Mostly,Always,Always,Always,Not sure,Not sure,,No,Yes,"Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment","No, I did not know how to respond so I let it pass.","No, I was afraid of being misjudged.",I don't know.,i did not complain,Not comfortable,No,No,Yes,Yes,Always,Always,Sometimes,Always,Mostly,Always,,,"No, but I want to get involved",,Support and understanding their needs and problems,Never,Unwelcome,Insufficient,None,Sufficient,Insufficient,"Extension of work contract to cover the personal leave, On-site or subsidized childcare (nursery, kindergarten)"
49,India,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,1,3,Male,Mostly,Moderately,Mostly,Mostly,Always,Always,Moderately,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,No,Yes,Gender Bias,No,Yes,Gender bias,"Yes, but I responded later.","No, I did not know whom to report.",I don't know.,,Somewhat comfortable,,,Yes,Yes,Sometimes,Mostly,Sometimes,Mostly,Sometimes,Mostly,,,"No, I don’t have such opportunities",,No judgements or preconceived notions should be there based on gender! ,Rarely,Supportive,Sufficient,None,Sufficient,None,None
50,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,Research institution,3,0,Male,Always,Moderately,Moderately,Moderately,Always,Always,Mostly,Not Available,Moderately,Not Available,Not Available,Always,Always,Always,Yes,Yes,Gender Bias,Yes,Yes,Gender bias,"Yes, I immediately responded.","No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Maybe,Always,Sometimes,Always,Sometimes,Sometimes,Mostly,,,"No, but I want to get involved",,,Sometimes,Supportive,Insufficient,None,Insufficient,None,None
51,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Technical staff,Research institution,2,1,Male,Always,Moderately,Mostly,Mostly,Mostly,Mostly,Mostly,Rarely,Mostly,Mostly,Mostly,Always,Not Available,Mostly,Not sure,Not sure,,Not sure,Not sure,,,,"Designated committee, I don't know.",,,,,Yes,Yes,Sometimes,Sometimes,Mostly,Rarely,Sometimes,Sometimes,,,Yes,"Put it up on social media, indirectly motivate people to talk more on these",Empathetic and that pushes women to take up leadership positions at least during events to make them realise their potential,Mostly,Supportive,Sufficient,Insufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten), Changing platform for babies only in ladies toilets"
52,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,Hospital,4,1,Male,Mostly,Mostly,Mostly,Mostly,Mostly,Moderately,Mostly,Mostly,Mostly,Mostly,Moderately,Mostly,Not Available,Mostly,Yes,Yes,Gender Bias,Yes,Yes,Gender bias,"No, I was afraid of furthering the issue.","No, I did not bother to report.",Supervisor,I never complained,Not comfortable,I just spoke up to the ones responsible for such a conduct. They never bothered.,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?, I faced unfriendly work environment ",Maybe,Maybe,Mostly,Mostly,Mostly,Mostly,Sometimes,Sometimes,"I just feel like contributing to the workplace in various ways, irrespective of what work it is. ","If I don’t volunteer for some activities, it’s probably because I have sufficient work on my plate. ","No, I don’t have such opportunities",,Not feeling sorry about our other personal commitments. ,Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,None
53,Germany,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,4,2,Male,Always,Always,Not Available,Always,Mostly,Always,Always,Mostly,Moderately,Not Available,Always,Always,Not Available,Always,Yes,No,Gender Bias,No,Yes,Gender bias,"This happened at a previous workplace, and NOT my current  position. No, but I did express my disapproval very strongly and openly. There was no specific women cell that I could report to and nobody took it seriously. This was in a previous University setup, where the PIs themselves were treating women differently as PhD students.","No, I did not know whom to report.",I don't know.,No actions were taken.,Not comfortable,No,No,Yes,Yes,Mostly,Always,Always,Always,Always,Always,Such activities in the lab are everyone's responsibilities. We have no hierarchy or difference. Everyone cleans their own mess. ,,"No, I don’t have such opportunities",,"Showing them the respect and importance for their contribution at workplace, like you would show any human being.",Always,Supportive,Sufficient,Sufficient,Sufficient,Insufficient,"I have no knowledge as yet, as I have not yet started a family"
54,India,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,Industry,3,1,Male,Mostly,Mostly,Not Available,Not Available,Always,Always,Moderately,Mostly,Mostly,Not Available,Not Available,Always,Always,Always,No,No,,No,No,,,,Human Resources,,,,,Yes,Yes,Mostly,Sometimes,Mostly,Mostly,Mostly,Mostly,,,"No, but I want to get involved",,,Sometimes,Supportive,Sufficient,Insufficient,None,None,None
55,India,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,0,4,Female,Not Available,Always,Not Available,Mostly,Always,Always,Always,Always,Always,Not Available,Mostly,Always,Always,Always,No,No,,No,No,,"No, I did not know how to respond so I let it pass.","No, I did not know whom to report.",Supervisor,No serious complaints were ever filed by me.,Very comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Yes,Yes,Sometimes,Mostly,Mostly,Sometimes,Mostly,Sometimes,,,"No, but I want to get involved",,,Mostly,Supportive,Sufficient,Insufficient,Sufficient,None,None
56,India,India,Male,30 - 40,Social Partnership,"Science, Technology, Engineering, Mathematics [STEM]",Entrepreneur,Freelance,1,3,Male,Moderately,Mostly,Mostly,Mostly,Mostly,Not Available,Mostly,Moderately,Mostly,Mostly,Mostly,Mostly,Not Available,Mostly,No,No,,Yes,Not sure,Gender bias,"Yes, but I responded later.","No, I did not bother to report.",Human Resources,,,,,Yes,Yes,Mostly,Mostly,Mostly,Sometimes,Mostly,Mostly,,,"No, I don’t have such opportunities",,,Sometimes,Neutral,Sufficient,Insufficient,Sufficient,Insufficient,Flexible HR policy or other administrative support
57,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Non-profit institution,2,1,Male,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Mostly,Mostly,Mostly,Mostly,Always,Always,Always,Yes,No,"Gender Bias, Emotional harrassment",Not sure,Yes,Emotional harrassment,Most of the above,Someone else reported the issue on my behalf.,I don't know.,Varied,Somewhat comfortable,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",No,Yes,Yes,Sometimes,Sometimes,Sometimes,Mostly,Sometimes,Mostly,I like workplace to be clean and have nice rapo with everyone,,"No, I don’t have such opportunities",,"Stop being prejudiced, not being strict with work timings when work will be done",Sometimes,Neutral,Sufficient,Insufficient,Sufficient,Insufficient,None
58,India,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,1,Female,Moderately,Mostly,Not Available,Mostly,Mostly,Not Available,Mostly,Mostly,Moderately,Not Available,Not Available,Always,Always,Mostly,Not sure,Yes,Spreading rumors and influencing opinions of other female co workers,Yes,Not sure,Gossip,"Yes, but I responded later.","No, I did not bother to report.",I don't know.,,,,,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,"No, I don’t have such opportunities",,,Mostly,Never discussed,Sufficient,Sufficient,Sufficient,Sufficient,"Career support programs (meeting, workshop etc.) to empower working mothers"
59,India,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Group leader,Research institution,2,2,Male,Moderately,Mostly,Not Available,Moderately,Always,Always,Always,Always,Mostly,Not Available,Moderately,Always,Always,Always,Yes,Yes,Gender Bias,Yes,Yes,Gender bias,"Yes, I immediately responded.","No, I did not bother to report.",Designated committee,No actions were taken.,Not comfortable,No,No,Yes,Yes,Mostly,Sometimes,Sometimes,Mostly,Mostly,Sometimes,,,Yes,Wikipedia edit-a-thon for Women in Science,,Sometimes,Never discussed,Sufficient,None,Sufficient,None,Extension of work contract to cover the personal leave
60,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,0,Male,Moderately,Mostly,Not Available,Moderately,Mostly,Not Available,Mostly,Not Available,Mostly,Not Available,Not Available,Mostly,Always,Mostly,No,No,,No,Not sure,,,,I don't know.,,,,,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,just good lab practice. ,,"No, but I want to get involved",,,Sometimes,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s), Changing platform for babies in both gents/ ladies toilets"
61,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,Industry,4,1,Male,Mostly,Mostly,Not Available,Not Available,Moderately,Always,Mostly,Always,Mostly,Not Available,Not Available,Moderately,Always,Mostly,Yes,No,"Gender Bias, Emotional harrassment, Not considered seriously ",No,No,,"No, I did not bother.","No, I did not bother to report.",Human Resources,No actions were taken.,Not comfortable,Not reported,Not reported,Maybe,Yes,Mostly,Sometimes,Sometimes,Mostly,Sometimes,Mostly,,,"No, I don’t have such opportunities",,Give more leadership roles,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, On-site or subsidized childcare (nursery, kindergarten), Nursing room(s)"
62,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,4,1,Male,Always,Always,Not Available,Mostly,Always,Not Available,Mostly,Always,Always,Not Available,Mostly,Always,Always,Always,No,No,,No,Yes,Gender bias,"No, I did not know how to respond so I let it pass.","No, I did not bother to report.",Supervisor,,Not comfortable,,,Yes,Yes,Mostly,Sometimes,Mostly,Mostly,Sometimes,Always,I enjoy baking,,"No, I don’t have such opportunities",,,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support"
63,United States,India,Male,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,2,1,Female,Always,Always,Not Available,Moderately,Always,Not Available,Always,Always,Always,Not Available,Always,Always,Not Available,Always,No,No,,No,No,,,,"Supervisor, Human Resources, Designated committee",,Not comfortable,,,Yes,Yes,Mostly,Mostly,Sometimes,Mostly,Sometimes,Always,,,"No, but I want to get involved",,,Sometimes,Supportive,Insufficient,Sufficient,Sufficient,Insufficient,Changing platform for babies in both gents/ ladies toilets
64,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,5,2,Female,Moderately,Mostly,Mostly,Moderately,Mostly,Moderately,Moderately,Mostly,Moderately,Moderately,Moderately,Moderately,Always,Mostly,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",Yes,Yes,"Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment","Yes, but I responded later.","No, I was afraid of being misjudged.","Human Resources, Designated committee",No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Maybe,Maybe,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Team spirit,,"No, but I want to get involved",,,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,None
65,United States,India,Male,30 - 40,Single,Humanities & Social Sciences,Technical staff,Research institution,2,1,Male,Always,Always,Always,Always,Always,Not Available,Moderately,Mostly,Mostly,Rarely,Moderately,Always,Not Available,Moderately,No,Yes,"Gender Bias, Emotional harrassment",Yes,Yes,"Gender bias, Emotional harrassment","Yes, but I responded later.","Yes, I reported the issue.",Colleague,No actions were taken.,Somewhat comfortable,,No,Yes,No,Sometimes,Mostly,Mostly,Mostly,Mostly,Mostly,,,Yes,,,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten), Nursing room(s), Changing platform for babies only in ladies toilets, Changing platform for babies in both gents/ ladies toilets"
66,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,2,0,Male,Mostly,Moderately,Rarely,Moderately,Moderately,Always,Rarely,Moderately,Always,Moderately,Always,Mostly,Always,Moderately,Yes,No,Gender Bias,Yes,No,Gender bias,"No, I did not know how to respond so I let it pass.","No, I did not bother to report.",I don't know.,No actions were taken.,Not comfortable,No,No,Maybe,Maybe,Rarely,Mostly,Sometimes,Always,Sometimes,Mostly,,,"No, but I want to get involved",,,Sometimes,Neutral,Sufficient,Sufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
67,Germany,India,Male,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,3,5,Female,Moderately,Mostly,Not Available,Rarely,Always,Not Available,Mostly,Mostly,Mostly,Not Available,Moderately,Always,Not Available,Mostly,No,No,,No,No,,,,Designated committee,,,,,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,ethical distribution of tasks between male and female,,Yes,"I cheered our group when we have only female participants from the group for a relay, I support the PhD initiative at our institute which is being led by 4 females and 1 male as representatives.",Their direct involvement in committees and decision-making processes. ,Mostly,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"On-site or subsidized childcare (nursery, kindergarten)"
68,United States,India,Male,30 - 40,Social Partnership,"Science, Technology, Engineering, Mathematics [STEM]",PhD student,University,1,4,Male,Moderately,Mostly,Not Available,Not Available,Always,Not Available,Always,Mostly,Always,Not Available,Not Available,Always,Always,Always,No,No,,Yes,Not sure,"Gender bias, Emotional harrassment",I did not witness. Only know about it,I did not have enough proof id the discrimination was based on gender or race,I don't know.,,,,,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,just getting the job done. making sure the lab runs smoothly,,"No, but I want to get involved",,listening to them. making sure their voices are heard and given even consideration,Rarely,Disrespectful,None,None,None,None,I am not aware
69,United States,India,Female,30 - 40,Single,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,10,2,Female,Always,Rarely,Not Available,Not Available,Never,Not Available,Mostly,Moderately,Always,Not Available,Mostly,Mostly,Not Available,Always,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",Not Available,Yes,"Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment","No, I was afraid of furthering the issue.","Yes, I reported the issue.","Supervisor, Human Resources, Designated committee",,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Yes,Yes,Always,Always,Never,Always,Rarely,Always,,,Yes,"Volunteer for two organizations for women empowerment (COWE, India)and domestic  abuse ( AWARE, Singapore)",To not make them feel differently and include the diversity ,Sometimes,Disrespectful,Insufficient,Insufficient,Sufficient,Insufficient,"Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s)"
70,Singapore,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,2,2,Male,Mostly,Mostly,Not Available,Mostly,Rarely,Not Available,Mostly,Always,Mostly,Not Available,Not Available,Always,Always,Mostly,No,No,,No,No,,Not experienced any Gender Bias,Not experienced any Gender Bias,Supervisor,Not experienced any Gender Bias,Not experienced any Gender Bias,Not experienced any Gender Bias,Not experienced any Gender Bias,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Mostly,It just helps to make the lab environment amicable.,Some times you donot know the culture of the lab or people you work with.,Yes,Women in Science meets ,Treating them as equals and considering the fact that they take care of more things than men do.,Mostly,Supportive,Sufficient,None,Sufficient,None,None
71,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,University,4,1,Male,Moderately,Rarely,Never,Never,Always,Not Available,Never,Moderately,Never,Never,Never,Always,Always,Rarely,Yes,Yes,"Gender Bias, Emotional harrassment, Mental harrassment",Not sure,Yes,Gender bias,"No, I was afraid of furthering the issue.","No, I was afraid of being misjudged.",I don't know.,Afraid of harm done to career if complained.,Not comfortable,,,Yes,No,Sometimes,Sometimes,Never,Rarely,Never,Rarely,I volunteer regardless ,I volunteer regardless ,Yes,Encouragement and providing letters of recommendations.,Immigration and professional development.,Sometimes,Never discussed,Insufficient,None,Sufficient,Insufficient,None
72,India,India,Male,20 - 30,Single,"Science, Technology, Engineering, Mathematics [STEM]",Research Consultant,Entrepreneur ,1,0,Male,Moderately,Always,Mostly,Mostly,Always,Not Available,Always,Not Available,Mostly,Mostly,Moderately,Always,Not Available,Always,Yes,No,Gender Bias,Yes,No,Gender bias,"No, I was discouraged from responding to the incident.","None reported, because the gender bias of over loaded work including the female colleague for given to the male colleague. Since its male workforce none taken it as seriously and I was also discouraged to raise any questions.",Supervisor,No actions were taken.,Very comfortable,No,"No, Since, the gender bias was towards a male colleague as mentioned above none taken it seriously.",Yes,Yes,Mostly,Sometimes,Mostly,Mostly,Mostly,Sometimes,,,"No, I don’t have such opportunities",,,Sometimes,Supportive,Sufficient,Insufficient,Insufficient,None,Flexible HR policy or other administrative support
73,United States,India,Female,40 - 50,Single,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,Industry,2,1,Male,Mostly,Mostly,Not Available,Mostly,Always,Not Available,Always,Not Available,Mostly,Not Available,Mostly,Always,Not Available,Always,Yes,Yes,Gender Bias,Yes,Yes,Mental harrassment,"No, I was afraid of furthering the issue.","No, I did not bother to report.",Supervisor,Did not complain,,No complaint made,No complaint made,Yes,Maybe,Sometimes,Always,Sometimes,Always,Rarely,Always,To be a team player,,Yes,"Too much to do for the person, hence gave a helping hand",Appreciation,Sometimes,Neutral,None,None,Insufficient,Insufficient,None
74,United States,India,Female,20 - 30,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Industry,0,2,Female,Not Available,Mostly,Not Available,Mostly,Always,Mostly,Mostly,Moderately,Mostly,Not Available,Moderately,Always,Not Available,Always,Not sure,No,,Yes,Yes,Emotional harrassment,"No, I did not bother.","No, I did not bother to report.",Human Resources,No actions were taken.,Not comfortable,No,No,Yes,Maybe,Mostly,Sometimes,Rarely,Mostly,Sometimes,Mostly,,No time,"No, but I want to get involved",,,Mostly,Supportive,Sufficient,Sufficient,Insufficient,Sufficient,"Flexible HR policy or other administrative support, Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s), Changing platform for babies only in ladies toilets"
75,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Financial Analyst,Industry,10,8,Female,Moderately,Always,Always,Always,Always,Not Available,Always,Moderately,Always,Always,Always,Always,Always,Always,Yes,Yes,"Gender Bias, Mental harrassment",Yes,Yes,"Gender bias, Mental harrassment","Yes, but I responded later.","No, I was afraid of being misjudged.",Human Resources,Did not report,Not comfortable,,,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,Yes,World Women's Day activities; Attended/Participated in career discussion groups for women,More information; encouragement to participate; introduction to other role models,Rarely,Unwelcome,Insufficient,Sufficient,Sufficient,Insufficient,"Extension of work contract to cover the personal leave, Career support programs (meeting, workshop etc.) to empower working mothers, Nursing room(s), Changing platform for babies only in ladies toilets"
76,United States,India,Male,50 - 60,Married,Business ,Management ,Industry,10,1,Male,Always,Mostly,Mostly,Always,Not Available,Not Available,Moderately,Moderately,Moderately,Mostly,Mostly,Always,Always,Always,No,No,,Yes,Yes,"Gender bias, Emotional harrassment","No, I did not bother.",Not under my control ,Human Resources,No actions were taken.,Not comfortable,N/A,No,Yes,Yes,Mostly,Sometimes,Sometimes,Mostly,Sometimes,Sometimes,,N/A,"No, I don’t have such opportunities",,,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support, Financial support for getting a helping hand or intern to help at work during pregnancy/ illness, Career support programs (meeting, workshop etc.) to empower working mothers, On-site or subsidized childcare (nursery, kindergarten), Nursing room(s), Changing platform for babies only in ladies toilets, Changing platform for babies in both gents/ ladies toilets"
77,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,Research institution,2,0,Male,Mostly,Mostly,Mostly,Mostly,Mostly,Not Available,Mostly,Not Available,Moderately,Rarely,Rarely,Mostly,Always,Mostly,Yes,Not Available,Emotional harrassment,Not sure,Not sure,,"Yes, but I responded later.","Yes, I reported the issue.",Supervisor,Moderately,Somewhat comfortable,No,No,Yes,Maybe,Sometimes,Sometimes,Sometimes,Sometimes,Mostly,Mostly,I feel responsible and perform my duty first,,Yes,"Not particularly at an event. I always advocate for gender equality should come from family. I try to get this message across my family, relatives and friends on a priority basis",A humanist approach from both the genders might help. Humanist being everyone is respected and treated similarly.,Sometimes,Supportive,Sufficient,Insufficient,Insufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten), Nursing room(s), Changing platform for babies only in ladies toilets, Changing platform for babies in both gents/ ladies toilets"
78,United States,India,Female,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Post doc,University,4,3,Male,Moderately,Moderately,Never,Never,Never,Not Available,Moderately,Always,Mostly,Not Available,Not Available,Not Available,Not Available,Moderately,Not sure,Yes,"Emotional harrassment, Mental harrassment",Yes,Yes,"Emotional harrassment, Mental harrassment","No, I was afraid of furthering the issue.","Yes, I reported the issue.",I don't know.,No actions were taken.,Not comfortable,No,,Maybe,No,Mostly,Sometimes,Mostly,Mostly,Mostly,Mostly,Duty responsibility,,"No, I don’t have such opportunities",,,Rarely,Supportive,Insufficient,None,Insufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten)"
79,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Staff Scientist,Research institution,5,2,Male,Moderately,Mostly,Not Available,Mostly,Always,Always,Mostly,Mostly,Rarely,Not Available,Moderately,Always,Always,Rarely,Not sure,Yes,Mental harrassment,Yes,No,Gender bias,"No, I did not know how to respond so I let it pass.","No, I did not bother to report.",Designated committee,No actions were taken.,Not comfortable,No,"Yes - If your answer is in yes, can you give more detail in the option 'OTHER'?",Maybe,Maybe,Mostly,Sometimes,Always,Rarely,Always,Never,,,"No, I don’t have such opportunities",,,Never,Supportive,Insufficient,None,Insufficient,Insufficient,"On-site or subsidized childcare (nursery, kindergarten)"
80,United States,India,Male,30 - 40,Married,"Science, Technology, Engineering, Mathematics [STEM]",Senior Scientist,Industry,1,3,Female,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,No,No,,No,No,,,,,,,,,Yes,Yes,Always,Always,Always,Always,Always,Always,,,Yes,Initiated summer internship program,Top leadership support ,Always,Supportive,Sufficient,Sufficient,Sufficient,Sufficient,"Flexible HR policy or other administrative support, Nursing room(s)"
81,United States,United States,Male,40 - 50,Married,"Science, Technology, Engineering, Mathematics [STEM]",Faculty member,University,4,0,Male,Moderately,Moderately,Not Available,Mostly,Moderately,Not Available,Mostly,Moderately,Moderately,Not Available,Mostly,Mostly,Mostly,Mostly,No,No,,No,No,,,,I don't know.,,,,,Yes,Yes,Mostly,Mostly,Always,Mostly,Always,Always,Feeling of responsibility,,Yes,Recruitment of female students and faculty,Having role models for them to look up to,Mostly,Neutral,Sufficient,Insufficient,Sufficient,Sufficient,"Extension of work contract to cover the personal leave, Flexible HR policy or other administrative support"
