surveytaker	residence1	residence2	nationality1	nationality2	gender	age	maritalstatus	research	designation	workplace	malebias_target	femalebias_target	all_bias_target	biastype1	malebias_witness	femalebias_witness	all_bias_witness	biastype2	reported1	reported2_yn	reported2_desc	reporttype1	reporttype2_yn	reporttype2_desc	designated1	designated2	response1	response2	comfort	positiveimpact1	positiveimpact2	negativeimpact1	negativeimpact2
83	India	India	India	India	Female	20 - 30	Single	STEM	PhD student	University	yes	yes	yes	Gender Bias, Emotional harrassment	yes	no	yes	Gender bias, Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Designated committee	Designated committee	I didn't take it up further.	na	Somewhat comfortable	na	yes	na	yes
84	India	India	India	India	Female	20 - 30	Single	STEM	PhD student	Research institution	no	Do not wish to answer	no	na	yes	na	yes	Gender bias, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	no
85	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	yes	yes	Emotional harrassment, Mental harrassment	no	yes	yes	Emotional harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Somewhat comfortable	na	no	na	no
86	India	India	India	India	Female	40 - 50	Married	STEM	Senior Scientist/GL	Industry	yes	yes	yes	Gender Bias, Sexual harrassment, Mental harrassment	yes	yes	yes	Gender bias, Sexual harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Human Resources, Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	no
87	India	India	India	India	Female	30 - 40	Single	STEM	PhD student	Research institution	yes	no	no	Emotional harrassment, Mental harrassment	yes	yes	yes	Emotional harrassment, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Designated committee	Designated committee	na	na	Not comfortable	na	na	na	na
88	India	India	India	India	Female	20 - 30	Single	STEM	PhD student	University	not sure	not sure	not sure	na	yes	no	yes	Emotional harrassment, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	Somewhat comfortable	na	na	na	na
89	India	India	India	India	Male	30 - 40	Married	STEM	Post doc	University	yes	no	no	Mental harrassment	not sure	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I did not know whom to report.	no	no, I did not know whom to report.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment. Everything.	yes
90	India	India	India	India	Male	30 - 40	Married	STEM	Post doc	University	yes	no	no	Mental harrassment	not sure	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I did not know whom to report.	no	no, I did not know whom to report.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment. Everything.	yes
91	India	India	India	India	Male	30 - 40	Married	STEM	Post doc	University	yes	no	no	Mental harrassment	not sure	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I did not know whom to report.	no	no, I did not know whom to report.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment. Everything.	yes
92	India	India	India	India	Female	20 - 30	Married	STEM	PhD student	University	not sure	not sure	not sure	na	yes	yes	yes	Gender bias, Physical harrassment, Emotional harrassment, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	Strict actions were taken.	yes	Very comfortable	Better work environment	yes	na	no
93	India	India	India	India	Male	30 - 40	Married	STEM	Post doc	University	yes	no	no	Mental harrassment	not sure	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I did not know whom to report.	no	no, I did not know whom to report.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	threats, grudges, emotional-distress, isolation at work, disapproval of colleague(s), unfriendly work environment. Everything.	yes
94	India	India	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Healthcare	yes	not sure	yes	Gender Bias, Mental harrassment	yes	not sure	yes	Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	I did not report to anyone.	na	Not comfortable	Did not report	na	Did not report	na
95	India	India	India	India	Female	30 - 40	Single	STEM	Admin/Management	non-profit institution	not sure	not sure	not sure	na	no	no	no	na	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	Future non-addressal of work related queries from concerned colleagues or lack of proper response	yes
96	India	India	India	India	Female	40 - 50	Married	STEM	Admin/Management	non-profit institution	yes	yes	yes	Gender Bias, Mental harrassment	yes	yes	yes	Gender bias, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	Strict actions were taken.	yes	Somewhat comfortable	Setting example and support from other collaegues	yes	na	no
97	India	India	India	India	Female	30 - 40	Single	STEM	PhD student	University	yes	not sure	yes	Gender Bias, Exclusion	yes	not sure	yes	Gender bias, Exclusion	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	not filed complaint 	na	Not comfortable	not filed complaint 	na	not filed complaint 	na
98	India	India	India	India	Male	30 - 40	Married	STEM	Professor	University	not sure	not sure	not sure	na	not sure	not sure	not sure	na	Never happened to face such incedent	na	na	Never happened to face such incedent	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
99	India	India	India	India	Female	20 - 30	Single	STEM	Technical staff	Research institution	no	no	no	na	no	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	na	na	na		I don't know.	na	na	na	na	na	na	na
100	India	India	India	India	Female	30 - 40	Single	STEM	Post doc	Research institution	not sure	not sure	not sure	na	not sure	not sure	not sure	na	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor	Human Resources/Supervisor	na	na	Somewhat comfortable	na	na	na	na
101	Ireland	RoW	Ireland	RoW	Male	30 - 40	Single	STEM	Staff Scientist	Industry	no	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, she was my boss so it would have been bad for my career to challenge her anti-male sexism.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Colleague, Supervisor, Human Resources	Human Resources/Supervisor	As I said, I did not voice my complaints.	na	Not comfortable	I did not report the incidents. I did however receive tremendous support from family and friends when I mentioned it outside of work. Many were surprised that I faced discrimination as a man, which is sad.	na	no, but that female boss fired me without good cause. I felt that challenging this would mean I would not get a good reference and that it would damage my career. It was terrible.	na
102	Israel	RoW	India	India	Male	20 - 30	Single	STEM	PhD student	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	not sure	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	Actions were taken , biased in form of making things worse for the student.	yes	Not comfortable	na	no	There was a higher rate of assessment ( doctoral committee meet) without any guidance from the PI.	yes
103	Italy	RoW	India	India	Female	30 - 40	Married	STEM	PhD student	Research institution	no	Do not wish to answer	no	Emotional harrassment, Mental harrassment	not sure	not sure	not sure	na	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Colleague, Supervisor	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	no
104	Lithuania	RoW	Lithuania	RoW	Female	30 - 40	Social Partnership	STEM	Post doc	University	yes	yes	yes	Gender Bias, Sexual harrassment, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	I don't know.	I don't know.	no actions were taken.	no	Somewhat comfortable	My female boss was obladged to let me defend my phd thesis. Some of the master students finished without any defense as well as some of the phds.	yes	I finished without publication. She never published my data. Just included it as continuation for a new phd student.	yes
105	Netherlands	RoW	India	India	Female	30 - 40	Don't want to specify	STEM	Post doc	University	yes	no	no	Gender Bias, Mental harrassment	no	no	no	na	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor, Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	unfriendly work environment	yes
106	Portugal	RoW	India	India	Female	20 - 30	Single	STEM	PhD student	Research institution	not sure	no	no	na	not sure	not sure	not sure	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
107	Saudi Arabia	RoW	India	India	Male	30 - 40	Married	STEM	Staff Scientist	Research institution	no	yes	yes	Emotional harrassment	no	no	no	na	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	yes
108	Singapore	RoW	India	India	Male	30 - 40	Married	STEM	Post doc	Research institution	no	no	no	na	no	no	no	na	not experienced any Gender Bias	na	na	not experienced any Gender Bias	na	na	Supervisor	Human Resources/Supervisor	not experienced any Gender Bias	na	na	not experienced any Gender Bias	na	not experienced any Gender Bias	na
109	Singapore	RoW	India	India	Female	20 - 30	Married	STEM	Post doc	Research institution	no	no	no	na	yes	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Designated committee	Designated committee	na	na	na	na	na	na	na
110	Sri Lanka	RoW	Sri Lanka	RoW	Female	20 - 30	Single	STEM	PhD student	Research institution	yes	no	no	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	Negative impact on reco letter and publications	yes
111	Sweden	RoW	India	India	Female	30 - 40	Married	STEM	Post doc	None	not sure	not sure	not sure	na	no	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	i did not complain	na	Not comfortable	na	no	na	no
112	Switzerland	RoW	India	India	Female	30 - 40	Don't want to specify	STEM	Scientific Staff	Industry	yes	yes	yes	Gender Bias, Pay gp	not sure	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	na	na	Not comfortable	na	na	na	na
113	Switzerland	RoW	India	India	Male	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
114	United Arab Emirates	RoW	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	University	not sure	no	no	na	no	no	no	na	na	na	na	na	na	na	Supervisor, Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
115	United Kingdom	RoW	India	India	Female	20 - 30	Married	STEM	Post doc	Research institution	yes	yes	yes	Gender Bias	no	yes	yes	Gender bias, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Supervisor	Human Resources/Supervisor	no complains made	na	Not comfortable	na	no	na	yes
116	United Kingdom	RoW	United Kingdom	RoW	Female	30 - 40	Married	STEM	Staff Scientist	University	not sure	not sure	not sure	na	not sure	not sure	not sure	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
117	United Kingdom	RoW	United Kingdom	RoW	Male	40 - 50	Married	STEM	Post doc	University	no	no	no	na	yes	no	yes	Racism	yes, I immediately responded.	yes	yes, I immediately responded.	Advised the concerned person on how best to deal with the situation.	other	other	Designated committee	Designated committee	The concerned person did not wish to pursue the issue further.	yes	Very comfortable	na	yes	Emotional distress 	yes
118	United Kingdom	RoW	United Kingdom	RoW	Female	30 - 40	Married	STEM	Technical staff	University	yes	no	no	Gender Bias	yes	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	no, PI presented me with deal from HR	no	no, I was discouraged from responding to the incident.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources	Human Resources/Supervisor	na	na	Not comfortable	na	na	na	na
119	United Kingdom	RoW	India	India	Female	40 - 50	Married	STEM	Senior Scientist/GL	University	no	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not know whom to report.	no	no, I did not know whom to report.	Designated committee	Designated committee	na	na	na	na	na	na	na
120	United States	America	India	India	Female	40 - 50	Married	STEM	Senior Scientist/GL	Research institution	not sure	not sure	not sure	na	not sure	not sure	not sure	na	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Somewhat comfortable	na	no	I left the job; and the PIs perceive my job as a replaceable job	yes
121	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Emotional harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Designated committee	Designated committee	did not report	na	Not comfortable	did not report	na	did not report	na
122	United States	America	Iran	RoW	Female	30 - 40	Married	STEM	PhD student	University	no	na	no	na	no	no	no	na	I have not faced it in academia but in industry and I immediately responded	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	Strict actions were taken.	yes	Very comfortable	I received definite support, however the person who had discriminated me got fired since he believed that women cannot lead industrial projects and he was not willing to change his attitude and apologize. This issue had created problem in carrying on the project. (I believe training is the best solution rather than firing)	yes	na	no
123	United States	America	India	India	Female	40 - 50	Married	STEM	Staff Scientist	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	no	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	yes
124	United States	America	India	India	Female	20 - 30	Single	STEM	Post doc	University	yes	yes	yes	Gender Bias, Sexual harrassment, Emotional harrassment, Mental harrassment	no	no	no	na	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	Didn’t not complain 	na	na	no
125	United States	America	India	India	Female	30 - 40	Don't want to specify	STEM	Post doc	University	no	no	no	na	no	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	someone else reported the issue on my behalf.	other	someone else reported the issue on my behalf.	Human Resources	Human Resources/Supervisor	Strict actions were taken.	yes	Somewhat comfortable	na	no	na	na
126	United States	America	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Research institution	yes	no	no	Gender Bias, Emotional harrassment, Mental harrassment	no	yes	yes	Sexual harrassment, Emotional harrassment, Mental harrassment	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	someone else reported the issue on my behalf.	other	someone else reported the issue on my behalf.	Supervisor, Human Resources	Human Resources/Supervisor	We were told that actions have been taken but they were not very apparent. 	yes	Not comfortable	An institute-wide statement has been issued against harassment of any kind will not be tolerated. And several compulsory training modules introduced for employees to go through to understand what can be called as harassment to ha e a breed work environment. 	yes	na	no
127	United States	America	India	India	Female	30 - 40	Single	STEM	PhD student	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
128	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	Do not wish to answer	Do not wish to answer	Do not wish to answer	na	not sure	not sure	not sure	na	na	na	na	na	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
129	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	no	no	na	yes	yes	yes	Gender bias, Emotional harrassment	no, I did not bother.	no	no, I did not bother.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	I did not complain 	na	Somewhat comfortable	na	no	na	no
130	United States	America	India	India	Female	30 - 40	Married	STEM	None	None	yes	not sure	yes	Gender Bias, Emotional harrassment, Mental harrassment, Unhealthy competition	not sure	yes	yes	Gender bias	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	I was told it was quite normal and required	yes	Somewhat comfortable	na	no	I was discriminated for speaking up	yes
131	United States	America	Sri Lanka	RoW	Female	30 - 40	Single	STEM	Post doc	University	yes	not sure	yes	Emotional harrassment, Mental harrassment, Racism	Do not wish to answer	Do not wish to answer	Do not wish to answer	na	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Designated committee	Designated committee	na	na	Not comfortable	na	na	na	na
132	United States	America	India	India	Female	20 - 30	Married	STEM	Post doc	Research institution	no	no	no	na	no	no	no	na	I havnt seen anyone gng through gender bias	na	na	Havnt seen gender bias where i have worked	na	na	Supervisor, Human Resources	Human Resources/Supervisor	Strict actions are taken	yes	na	Havnt reported	na	not reported	na
133	United States	America	India	India	Male	30 - 40	Single	STEM	Post doc	University	no	no	no	na	no	yes	yes	Gender bias, Sexual harrassment, Physical harrassment, Emotional harrassment	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor, Human Resources, Designated committee	Designated committee	Strict actions were taken.	yes	Somewhat comfortable	na	yes	na	no
134	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	no	no	Gender Bias, Mental harrassment	not sure	not sure	not sure	na	not sure	na	na	not sure	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
135	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	no	no	Gender Bias	yes	no	yes	Gender bias	yes, I immediately responded.	yes	yes, I immediately responded.	The issue was addressed immediately by my boss who witnessed the incident	other	someone else reported the issue on my behalf.	Supervisor	Human Resources/Supervisor	na	na	Very comfortable	Apologies offered	yes	na	no
136	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	no	yes	yes	Gender bias	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Human Resources, Designated committee	Designated committee	no actions were taken.	no	Somewhat comfortable	na	no	na	no
137	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Gender bias, Emotional harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	It was mostly talking very ill of the colleague behind her back. I responded but there is no way to report this kind of behaviour.	other	other	I don't know.	I don't know.	na	na	Not comfortable	na	na	na	na
138	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	yes	not sure	yes	Gender Bias	yes	not sure	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	Not comfortable	na	no	na	no
139	United States	America	India	India	Female	30 - 40	Married	STEM	Staff Scientist	University	not sure	not sure	not sure	na	not sure	not sure	not sure	na	na	na	na	na	na	na	Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
140	United States	America	India	India	Male	30 - 40	Married	STEM	Staff Scientist	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources, I don't know.	I don't know.	na	na	Not comfortable	na	no	na	yes
141	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	non-profit institution	yes	yes	yes	Gender Bias, Bias by hierarchy	not sure	yes	yes	Bias by hierarchy	yes, I immediately responded.	yes	yes, I immediately responded.	Reported anonymously once.	yes	yes, I reported the issue.	Supervisor, Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	The way people talked to me after reporting the incident was way different than before.	yes
142	United States	America	India	India	Female	30 - 40	Married	STEM	Staff Scientist	Industry	yes	no	no	Gender Bias	yes	no	yes	Gender bias	yes, I immediately responded.	yes	yes, I immediately responded.	no, I did not bother to report.	no	no, I did not bother to report.	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Somewhat comfortable	na	no	na	no
143	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na	Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
144	United States	America	India	India	Male	40 - 50	Single	STEM	Admin/Management	Industry	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	someone else reported the issue on my behalf.	other	someone else reported the issue on my behalf.	Supervisor, Human Resources, Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	no
145	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	not sure	no	na	na	na	na	na	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
146	United States	America	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Industry	yes	no	no	Gender Bias, Emotional harrassment	no	no	no	na	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	not reported	na	not reported	na
147	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor	Human Resources/Supervisor	na	na	Not comfortable	na	na	na	na
148	United States	America	India	India	Male	20 - 30	Single	STEM	PhD student	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na	Supervisor, Human Resources, Designated committee	Designated committee	na	na	Not comfortable	na	na	na	na
149	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources, Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	yes
150	United States	America	India	India	Male	30 - 40	Single	Humanities & Social Sciences	Technical staff	Research institution	no	yes	yes	Gender Bias, Emotional harrassment	yes	yes	yes	Gender bias, Emotional harrassment	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Colleague	I don't know.	no actions were taken.	no	Somewhat comfortable	na	na	na	no
151	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	yes	no	no	Gender Bias	yes	no	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
152	United States	America	India	India	Male	30 - 40	Social Partnership	STEM	PhD student	University	no	no	no	na	yes	not sure	yes	Gender bias, Emotional harrassment	I did not witness. Only know about it	na	na	I did not have enough proof id the discrimination was based on gender or race	no	no	I don't know.	I don't know.	na	na	na	na	na	na	na
153	United States	America	India	India	Female	30 - 40	Single	STEM	Post doc	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	na	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor, Human Resources, Designated committee	Designated committee	na	na	Not comfortable	na	no	na	yes
154	United States	America	India	India	Male	30 - 40	Married	STEM	Senior Scientist/GL	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	not sure	yes	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	Afraid of harm done to career if complained.	na	Not comfortable	na	na	na	na
155	United States	America	India	India	Female	40 - 50	Single	STEM	Staff Scientist	Industry	yes	yes	yes	Gender Bias	yes	yes	yes	Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor	Human Resources/Supervisor	Did not complain	na	na	no complaint made	na	no complaint made	na
156	United States	America	India	India	Female	20 - 30	Married	STEM	Post doc	Industry	not sure	no	no	na	yes	yes	yes	Emotional harrassment	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	no
157	United States	America	India	India	Male	30 - 40	Married	STEM	Admin/Management	Industry	yes	yes	yes	Gender Bias, Mental harrassment	yes	yes	yes	Gender bias, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources	Human Resources/Supervisor	Did not report	na	Not comfortable	na	na	na	na
158	United States	America	India	India	Male	50 - 60	Married	Business 	Admin/Management	Industry	no	no	no	na	yes	yes	yes	Gender bias, Emotional harrassment	no, I did not bother.	no	no, I did not bother.	not under my control 	no	no	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	na	na	no
159	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	Research institution	yes	na	yes	Emotional harrassment	not sure	not sure	not sure	na	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	Moderately	yes	Somewhat comfortable	na	no	na	no
160	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	not sure	yes	yes	Emotional harrassment, Mental harrassment	yes	yes	yes	Emotional harrassment, Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	yes, I reported the issue.	yes	yes, I reported the issue.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	na
161	United States	America	India	India	Male	30 - 40	Married	STEM	Staff Scientist	Research institution	not sure	yes	yes	Mental harrassment	yes	no	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not bother to report.	no	no, I did not bother to report.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	yes
